"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
0.19532591104706,-1.4037156106281,4.0804728567969,-0.34400807452742,0.730840213693642,NA,"ENST00000496051"
6.75904146026345,-1.14977353861216,1.07720071939053,-1.06737167726985,0.285804032757955,0.559181803222085,"ENST00000467228"
1.39533881334251,-4.14390916831689,3.35778009462822,-1.23412166715334,0.217157570817003,NA,"ENST00000497401"
0.358740212267254,-2.2000159466579,4.04709616603081,-0.543603575601606,0.586714298730866,NA,"ENST00000469889"
1.72163224098268,-0.413113054131178,1.41744400000794,-0.291449294736768,0.770707718251505,NA,"ENST00000443935"
1.46022042408454,-2.00715304304315,1.95730903014842,-1.02546558163631,0.305143557522905,NA,"ENST00000611039"
316.249934493698,-1.48109517426483,0.36867044948484,-4.01739595981841,5.88448015918909e-05,0.000825986664546725,"ENST00000253413"
1.49405650927802,3.80012635608865,3.30034356237625,1.1514335657081,0.249553911568247,NA,"ENST00000399796"
6.25977566973968,-1.90218690973867,2.72423921659478,-0.698245182784039,0.48502387439963,0.752278134929439,"ENST00000399798"
1.45930288707374,1.51756270998174,1.72436309653274,0.880071437989583,0.378820610814685,NA,"ENST00000473248"
0,NA,NA,NA,NA,NA,"ENST00000413576"
0.808896782157149,-3.35401493882197,3.68788741723212,-0.90946782245844,0.363103235447972,NA,"ENST00000481365"
0.981390128440446,-0.30286462507239,3.88478390024071,-0.0779617690069256,0.937858464306478,NA,"ENST00000484653"
1.37554764884176,-0.304080207700361,2.04282543816447,-0.148852761483911,0.88166981670931,NA,"ENST00000478963"
1.39312290899278,-2.98806527868682,2.60159623426654,-1.14855073947677,0.250741279371071,NA,"ENST00000460085"
0.47391469096253,2.16339430007239,3.98569463858708,0.542789775997318,0.587274553409106,NA,"ENST00000399781"
2.65655374820389,0.389503766964833,1.6932753478821,0.23002978662154,0.81806862388742,0.92246365837305,"ENST00000399782"
32.7476781997045,-2.40374552718236,1.4933842704855,-1.60959611982581,0.107486055858216,0.32372768791943,"ENST00000337612"
39.1933233102818,-1.9043678040907,1.62267430139755,-1.17359830155105,0.240555961841051,0.50599709115387,"ENST00000418951"
0.586802089565961,2.46686320150955,3.97074741016657,0.621259160225975,0.5344291199598,NA,"ENST00000538149"
